location	lat	lon	txt	place
31.77765,35.23547	31.77765	35.23547	בקידוש שאומרים: ''סברי מרנן'' ואז המסובין עונה ''לחיים'' פירושו הוא:שבתקופת בית המקדש ששפטו אנשים מרנן=החכמים סברי=סברו החכמים סברו שיש לשפוט אותו לכף הטובה כף החיים ולא לכף הרעה כף המוותאני חדש פה אז נעים להכיר :)	בית המקדש
31.258888888,34.797777777	31.258888888	34.797777777	הסתערות הפרשים האחרונה בהיסטוריה (יש עדיין פרשים אבל אני מתכוון יחידת CAVALRY) הייתה במלחמת העולם הראשונה.. בבאר שבע (עד היום יש שחזורים של זה שם)	באר שבע
32.06733889,34.77127778	32.06733889	34.77127778	בסוף הסרט הישראלי "תעלת בלאומליך" (*אזהרת ספילר*) של אפרים קישון מוצף כל רחוב אלנבי ומוכרז כ"ונציה של המזרח התיכון" מן הסתם, ההפקה לא יכלה להציף את רחוב אלנבי האמית ולכן י צר קישון באולפן העתק מדויק בגודל טבעי של כיכר מוגרבי וחלק מהרחוב ואותו הוא בעצם הציף , את התוצאה תוכלו לראות בסרט ותודו שזה נראה אמיתי...	רחוב אלנבי
31.071944444,35.396944444	31.071944444	35.396944444	הצייר האנגלי המפורסם ויליאם הולמן האנט דבק בסגנון ציור ריאליסטי, הדוגל בהצגת החיים כפי שהם. דוגמה לכך היא סיפור הציור "השעיר המשתלח לעזאזל". האנט ביקש להציג את השעיר לעזאזל, על פי ספר שמות וישעיהו, ולשם כך החליט להשתמש בעז אמיתית כמודל לציורו ולציירה על רקע הנוף המתאים לתיאור התנ"כי. לשם כך לקח עז אל הר סדום והציבה על רקע הרי אדום. כדי להשלים את הריאליזם הביא האנט את העז למצב של התייבשות תחת השמש הקופחת בטרם החל לציירה. הדבר עלה בחייה של העז בטרם הושלם הציור, אך האנט לא אמר נואש, חזר לירושלים וקנה עז נוספת. תהליך זה חזר על עצמו פעמיים נוספות בטרם הצליח האנט להשלים את ציורו.	הר סדום
31.95,34.8	31.95	34.8	יש רחוב בראשון לציון בשם המסיכה	ראשון לציון
32.033333333,34.85	32.033333333	34.85	יש כיכר בשם "כיכר אחד עשרה בסמפטמבר" באור יהודה. כמו כן, יש רחוב השכל בתל אביב.	אור יהודה
32.702102777,35.29785	32.702102777	35.29785	עובדה סופר לא חושבה חשבתם מה המפעלים הגדולים עושים עם כול מה שלא עובר בתו תקן? אז המפעל של עלית (שטראוס) שנמצה בנצרת עילית משתמש בכול המוצרים שהוא מייצר אך הם לא עוברים את התקן לתוך קופא ענקית ואז מוכר את זה בקילוגרמים למקומות שבהם מגדלים חיות למאכל כדי שהחיות יוכלו את זה (כן אז הפרא שאנחנו אוכלים סביר להניח שהיא אחלה איזה טעמי טוב או משהוא כזה) מקור- חוזרתי מהרצאה במפעל שלהם	נצרת
32.097991,34.793787	32.097991	34.793787	הלחן של השיר "סימן שאתה צעיר" שמוכר לכולנו משלישיית גשר הירקון והדודאים וגידי גוב וכו'... הוא בכלל לחן לשיר אירי שנקרא "whiskey in the jar" (ויסקי בצנצנת/בחבית). מקור: תבדקו ביוטיוב חחחח...	גשר הירקון
32.054444444,34.751666666	32.054444444	34.751666666	ירושלים היא עיר נורא אירונית: לרחוב הראשי בעיר קוראים בכלל יפו,ובמרכז העיר יש רחובות מרכזיים כמו חברון ובית לחם. ואחד הרחובות הראשיים ברחביה הוא רחוב עזה(עוד יותר אירוני שזה ממש ליד מעון ראש הממשלה) מקור-אני ירושלמי(תכלס אני ממבשרת אבל לא נורא)	יפו
32.421944444,35.528333333	32.421944444	35.528333333	בשנת 1942, ב-22 ביוני, נמדדה הטמפרטורה הגבוהה ביותר שהייתה באסיה עד היום- 54.3 מעלות. נתון זה הוא גם שיא ישראלי כי המקום שבו נמדדה טמפרטורה זו היה קיבוץ טירת צבי. מקור: ויקיפדיה.	טירת צבי
32.016666666,34.766666666	32.016666666	34.766666666	עובדות לא חשובות על ערים ושמות: -אם נתרגם את שם היישוב בית אריה לערבית נקבל (בשינוי קל) את השם דיר אל אסד, שם של יישוב אחר בגליל. אותו דבר עם ראש העין וראס אל עין (כפר בדואי בגליל). מקור שמן של רמלה וחולון זהה ומבוסס על החולות שעליהן הוקמו היישובים -לוד וצפת הן הערים היחידות שהשם שלהן נאמר בהברה אחת. -סנסנה, ספסופה, סאסא, בית זיד, בית עריף ואלקוש הם יישובים יהודיים. מזרעה, בית זרזיר,סולם ורמה הם יישובים ערביים. -אריאל היא מילה נרדפת לירושלים. אחד השמות שהוצעו לעיר תל אביב היה הרצליה. -רימונים גזר ותפוח הינם שמות של יישובים. -בתנ"ך מוזכר מקום בשם "כרמל" (בו היה חי נבל הכרמלי, דמות שעשתה צרות לדוד המלך) אך אין מדובר בהר כרמל אלא ביישוב שהיה באזור הר חברון, ובימינו יש שם התנחלות וכפר ערבי בעלי שם זה. גם חולון לקחה את השם שלה מכפר יהודי שהיה באזור חברון. עוד שמות של יישובים זהים שרחוקים גאוגרפית אחד מהשני: גת וג'ת הגלילית, חצור אשדוד וחצור הגלילית, ובית לחם עם בית לחם הגלילית- כשהדמיון בין השמות גרם לכך שיחשבו שישו נולד בבית לחם שליד ירושלים, כמו דוד המלך ולכן ניתן היה לקשרו לדמות של משיח למרות שהוא נולד בבית לחם שבגליל.	חולון
32.155555555,34.842222222	32.155555555	34.842222222	עובדות לא חשובות על ערים ושמות: -אם נתרגם את שם היישוב בית אריה לערבית נקבל (בשינוי קל) את השם דיר אל אסד, שם של יישוב אחר בגליל. אותו דבר עם ראש העין וראס אל עין (כפר בדואי בגליל). מקור שמן של רמלה וחולון זהה ומבוסס על החולות שעליהן הוקמו היישובים -לוד וצפת הן הערים היחידות שהשם שלהן נאמר בהברה אחת. -סנסנה, ספסופה, סאסא, בית זיד, בית עריף ואלקוש הם יישובים יהודיים. מזרעה, בית זרזיר,סולם ורמה הם יישובים ערביים. -אריאל היא מילה נרדפת לירושלים. אחד השמות שהוצעו לעיר תל אביב היה הרצליה. -רימונים גזר ותפוח הינם שמות של יישובים. -בתנ"ך מוזכר מקום בשם "כרמל" (בו היה חי נבל הכרמלי, דמות שעשתה צרות לדוד המלך) אך אין מדובר בהר כרמל אלא ביישוב שהיה באזור הר חברון, ובימינו יש שם התנחלות וכפר ערבי בעלי שם זה. גם חולון לקחה את השם שלה מכפר יהודי שהיה באזור חברון. עוד שמות של יישובים זהים שרחוקים גאוגרפית אחד מהשני: גת וג'ת הגלילית, חצור אשדוד וחצור הגלילית, ובית לחם עם בית לחם הגלילית- כשהדמיון בין השמות גרם לכך שיחשבו שישו נולד בבית לחם שליד ירושלים, כמו דוד המלך ולכן ניתן היה לקשרו לדמות של משיח למרות שהוא נולד בבית לחם שבגליל.	הרצליה
31.431666666,35.183611111	31.431666666	35.183611111	עובדות לא חשובות על ערים ושמות: -אם נתרגם את שם היישוב בית אריה לערבית נקבל (בשינוי קל) את השם דיר אל אסד, שם של יישוב אחר בגליל. אותו דבר עם ראש העין וראס אל עין (כפר בדואי בגליל). מקור שמן של רמלה וחולון זהה ומבוסס על החולות שעליהן הוקמו היישובים -לוד וצפת הן הערים היחידות שהשם שלהן נאמר בהברה אחת. -סנסנה, ספסופה, סאסא, בית זיד, בית עריף ואלקוש הם יישובים יהודיים. מזרעה, בית זרזיר,סולם ורמה הם יישובים ערביים. -אריאל היא מילה נרדפת לירושלים. אחד השמות שהוצעו לעיר תל אביב היה הרצליה. -רימונים גזר ותפוח הינם שמות של יישובים. -בתנ"ך מוזכר מקום בשם "כרמל" (בו היה חי נבל הכרמלי, דמות שעשתה צרות לדוד המלך) אך אין מדובר בהר כרמל אלא ביישוב שהיה באזור הר חברון, ובימינו יש שם התנחלות וכפר ערבי בעלי שם זה. גם חולון לקחה את השם שלה מכפר יהודי שהיה באזור חברון. עוד שמות של יישובים זהים שרחוקים גאוגרפית אחד מהשני: גת וג'ת הגלילית, חצור אשדוד וחצור הגלילית, ובית לחם עם בית לחם הגלילית- כשהדמיון בין השמות גרם לכך שיחשבו שישו נולד בבית לחם שליד ירושלים, כמו דוד המלך ולכן ניתן היה לקשרו לדמות של משיח למרות שהוא נולד בבית לחם שבגליל.	כרמל
32.72986944,35.04972778	32.72986944	35.04972778	הרכב הישראלי הראשון -סוסותיא. עד 1981 פעלה בישראל חברת "אוטוקראס". הרכב הראשון אשר יוצר במפעל - סוסיתא. כמובן שייצרו עוד דגמים כגון הסברה, רום כרמל,גלבוע, ויוצרו רכבים מייצרניות אחרות - כגון האסקורט הראשונה של פורד. בשנות ה70 האינפלציה הגבוהה בישראל והמיתון הקשה הביאו לסגירת המפעל, ונפילת תעשיית הרכב הישראלית.	רום כרמל
32.868333333,35.211388888	32.868333333	35.211388888	בצרה, כאבול, משהד הן לא רק ערים גדולות בעיראק, אפגניסטן ואיראן (בהתאמה) הן גם שמות של יישובים בארץ ישראל. (בהמשך לדיון על קריית מלאכי-לוס אנג'לס ומי עמי-מיאמי)	כאבול
