place	location	lat	lon	answers	categories	question	score	story	right_answer
אילת	29.55,34.95	29.550000000	34.95		wiki records			גרביל דרומי - גרביל דרומי (שם מדעי: Gerbillus gerbillus) הוא בעל חיים אוכל כל, מין ממשפחת העכבריים. הגרביל הדרומי נפוץ במדבר סהרה וסביבו ממאוריטניה עד סודאן ובמצרים בסיני, בישראל, בירדן ובערב. בישראל חי המין בחולות הנגב ובערבה מים המלח ועד אילת.	גרביל דרומי
אילת	29.551,34.95	29.551000000	34.95		wiki records			סע לאט (שיר) - נושא השיר ייחודי. הוא מושר לנהג הנוסע ברכב, כשבחוץ גשם, ולכאורה אין בו מסר אחד ברור או מחשבה אחת ממוקדת. פרט לפזמון החוזר ("סע לאט"), השיר "מפוזר", מזכיר טווח נרחב של נושאים ואינו מתמקד באף אחד מהם, ובתוך כך פורש פנורמה רחבה של מקומות, אנשים ותחושות. השיר מתאר את המכונית, האנשים שיושבים בתוכה, מזג האוויר הסוער, הדרך, הלילה, חיילי צה"ל ששוכבים עכשיו בבוץ, "הגשש" ברדיו, קבוצת הכדורגל שהפסידה, האוהדים, שיר של הביטלס, האישה האהובה שנמצאת בבית, זיכרונות מנסיעה קודמת לאילת, ועוד.	סע לאט (שיר)
אילת	29.552,34.95	29.552000000	34.95		wiki records			מעלה עקרבים - ב-17 במרץ 1954 התרחש טבח מעלה עקרבים במהלכו נרצחו ביריות על ידי טרוריסטים ערבים שהסתננו לארץ - שנים עשר מהנוסעים באוטובוס "אגד" שהיו בדרכם חזרה מחגיגות לציון חמש שנים לשחרור אילת.	מעלה עקרבים
אילת	29.553,34.95	29.553000000	34.95		wiki records			התימניאדה - התימניאדה, או בשמה הרשמי פסטיבל ים סוף, היא פסטיבל הזמר הים תיכוני הגדול בישראל, המתקיים אחת לשנה בסוף אוגוסט באילת.	התימניאדה
אילת	29.554,34.95	29.554000000	34.95		wiki records			תום אבני - תום אבני (נולד ב-20 באפריל 1986 באילת) הוא שחקן טלוויזיה, תיאטרון וקולנוע, מנחה טלוויזיה ומדבב ישראלי.	תום אבני
אילת	29.555,34.95	29.555000000	34.95	["טל מוסרי","דניאל מורשת","שראל פיטרמן","תום אבני"]	["אישים"]	מי מהבאים נולד/ה באילת?	4	תום אבני ('שחקן תיאטרון') נולד באילת בשנת 1986	תום אבני
אילת	29.556,34.95	29.556000000	34.95	["קרין גורן","מושיק רוט","משה שגב","מאיר אדוני"]	["אישים"]	מי מהבאים נולד/ה באילת?	4	מאיר אדוני ('טבח') נולד באילת בשנת 1973	מאיר אדוני
אילת	29.557,34.95	29.557000000	34.95	["ג'ייסון דנינו-הולט","אבי לוי","ג'קי לוי","עדן הראל"]	["אישים"]	מי מהבאים נולד/ה באילת?	4	עדן הראל ('שחקן', 'מנחה טלוויזיה') נולדה באילת בשנת 1976	עדן הראל
אילת	29.558,34.95	29.558000000	34.95	["צביקה הדר","שחר חסון","יונתן ברק","דניאל אסייג"]	["אישים"]	מי מהבאים נולד/ה באילת?	3	דניאל אסייג ('שחקן', 'סטנדאפיסט') נולד באילת בשנת 1993	דניאל אסייג
אילת	29.559,34.95	29.559000000	34.95	["אבי מזרחי","גרשון הכהן","אורי אור","אייל זמיר"]	["אישים"]	מי מהבאים נולד/ה באילת?	3	אייל זמיר נולד באילת בשנת 1966	אייל זמיר
אילת	29.56,34.95	29.560000000	34.95	["תמר אייזנמן","ענבל פרלמוטר","יוני נמרי","אורית שחף"]	["אישים"]	מי מהבאים נולד/ה באילת?	3	אורית שחף ('זמר') נולדה באילת בשנת 1971	אורית שחף
אילת	29.561,34.95	29.561000000	34.95	["מורן רוט","עידן זלמנסון","אלישי כדיר","שון דאוסון"]	["אישים"]	מי מהבאים נולד/ה באילת?	3	שון דאוסון ('כדורסלן') נולד באילת בשנת 1993	שון דאוסון
אילת	29.562,34.95	29.562000000	34.95	["קרן זיבנר","עדי ביכמן","גל נבו","עמית עברי"]	["אישים"]	מי מהבאים נולד/ה באילת?	2	עמית עברי ('שחיין') נולדה באילת בשנת 1989	עמית עברי
אילת	29.563,34.95	29.563000000	34.95	["אבנר ברזני","אילן סבג","דני רוטשילד","עידו מזרחי"]	["אישים"]	מי מהבאים נולד/ה באילת?	2	עידו מזרחי נולד באילת בשנת 1978	עידו מזרחי
אילת	29.564,34.95	29.564000000	34.95	["יוחאי ספונדר","בנימין קריתי","תאופיק ח'טיב","נתן רביץ"]	["אישים"]	מי מהבאים נולד/ה באילת?	2	נתן רביץ ('שחקן', 'שחקן תיאטרון') נולד באילת בשנת 1966	נתן רביץ
אילת	29.565,34.95	29.565000000	34.95	["ציפי שביט","נסלי ברדה","טל ברמן","נעמה איזנברוך"]	["אישים"]	מי מהבאים נולד/ה באילת?	2	נעמה איזנברוך ('מנחה טלוויזיה') נולדה באילת בשנת 1976	נעמה איזנברוך
אילת	29.566,34.95	29.566000000	34.95	["אורי בר-און","אודי אדם","ארז לב-רן","דודו סונגו"]	["אישים"]	מי מהבאים נולד/ה באילת?	2	דודו סונגו נולד באילת בשנת 1977	דודו סונגו
אילת	29.567,34.95	29.567000000	34.95	["עדי כהן","לירז צ'רכי","מיה דגן","הילה זיתון"]	["אישים"]	מי מהבאים נולד/ה באילת?	2	הילה זיתון ('זמר', 'שחקן תיאטרון') נולדה באילת בשנת 1977	הילה זיתון
אילת	29.568,34.95	29.568000000	34.95	["מיה דגן","רויטל זלצמן","לירז צ'רכי","שרון פאוסטר"]	["אישים"]	מי מהבאים נולד/ה באילת?	2	שרון פאוסטר ('שחקן', 'שחקן תיאטרון') נולדה באילת בשנת 1982	שרון פאוסטר
אילת	29.569,34.95	29.569000000	34.95	["אריק זאבי","גידי קליגר","גל פרידמן","שחר צוברי"]	["אישים"]	מי מהבאים נולד/ה באילת?	2	שחר צוברי ('גולש רוח') נולד באילת בשנת 1986	שחר צוברי
אילת	29.57,34.95	29.570000000	34.95	["עטר דגן","מיכאל רצון","אמיר דרורי","רוני מרום"]	["אישים"]	מי מהבאים נולד/ה באילת?	2	רוני מרום נולד באילת בשנת 1966	רוני מרום
אילת	29.571,34.95	29.571000000	34.95	["עדי בילסקי","אסי לוי","ירדן תוסייה כהן","ליאת אקטע"]	["אישים"]	מי מהבאים נולד/ה באילת?	2	ליאת אקטע ('שחקן', 'שחקן תיאטרון', 'כוריאוגרף', 'שחקן קולנוע') נולדה באילת בשנת 1970	ליאת אקטע
אילת	29.572,34.95	29.572000000	34.95	["אהל","גת","מיטב","אילת"]	["ערים ויישובים","שמות נוספים"]	איזה מקום נודע גם בשם - אום רשרש	5	אֵילַת היא העיר הדרומית ביותר במדינת ישראל והיחידה בה לחופי הים האדום, והיא  משמשת כעיר נמל ותיירות מרכזית. העיר שוכנת בדרום הערבה, שייכת למחוז הדרום,  ומתגוררים בה כ-65,000 תושבים. בתקופת המנדט שכנו במקום יישוב בדואי קטן בשם  אום א-רשראש (בערבית: أم الرشراش) ונקודת משטרה בריטית. בימי קדם שכנה בסמוך  למקומה של אילת העיר עציון גבר, הנזכרת רבות בתנ"ך. ב-1949 נכבש המקום במסגרת  מלחמת העצמאות, ושימש בעיקר כמחנה צבאי. אילת נוסדה כיישוב אזרחי בשנת 1952,  והוכרזה כעיר בשנת 1959. העיר נקראת על שם העיר המקראית אֵילַת (גם: אֵילוֹת),  הנזכרת מספר פעמים בתנ"ך, לצד עציון גבר, בתקופות ממלכת ישראל המאוחדת וממלכת  יהודה כעיר נמל יהודית על שפת ים סוף - "תחנת הצי המסחרי של העם העברי". בדיון  בוועדה הגאוגרפית (שקדמה לוועדת השמות הממשלתית) על שמה של העיר, הייתה  התלבטות אם לקרוא לעיר "אילת החדשה" או "עציון גבר". אף על פי שהיה ברור כי  אין מדובר באילת המקראית, בכל זאת הוחלט לקרוא לעיר בשם "אילת", מאחר שהשם כבר  נטמע בציבור.מדרום לאילת נמצאת העיירה טאבה, שבשליטת מצרים, וממזרח לה נמצאת  העיר עקבה, שבשליטת ירדן. שטח השיפוט של אילת הוא 84,789 דונם, והיא העיר  הרביעית בגודל שטח שיפוטה בישראל. משנת 1985 מוגדר אזור אילת כ"אזור סחר  חופשי", הפטור ממע"מ (פרט למוצרים בודדים) וממיסים נוספים. החיבור בין העיר  אילת לשאר חלקי ישראל מתקיים באמצעות כביש 90, לאורך הערבה, וכן באמצעות כביש  40, העובר באזורי המישר, מכתש רמון והר הנגב. ניתן להגיע ממרכז הארץ ל נמל  התעופה של אילת גם בטיסה האורכת בממוצע כ-35 דקות.	אילת
אילת	29.573,34.95	29.573000000	34.95	["סמוליאן","אנטיב","קמפן","ריו דה ז'ניירו"]	["ערים ויישובים"]	מי מהערים הבאות אינה עיר תאומה של אילת?	2	לאילת 12 ערים תאומות. ריו דה ז'ניירו, עיר תאומה של תל אביב-יפו, היא לא אחת מהן. 	ריו דה ז'ניירו
